game_id,game_category
114108221,GENRE_VERBAL
114108566,GENRE_BOARDS
114174461,GENRE_ARCADES
114737340,GENRE_STRATEGY
114792563,GENRE_SIMULATORS
114853007,GENRE_SIMULATORS
114887622,GENRE_ECONOMIC
115045471,GENRE_LOGIC
115300817,GENRE_THREE_IN_ROW
115355626,GENRE_3D_SHOOTERS
115733217,GENRE_SIMULATORS
115852794,GENRE_BOARDS
116009378,GENRE_THREE_IN_ROW
116146941,GENRE_SIMULATORS
116244162,GENRE_BOARDS
116253293,GENRE_GAMBLING
116595809,GENRE_GAMBLING
116910334,GENRE_BOARDS
116991225,GENRE_SIMULATORS
117232587,GENRE_BOARDS
117374382,GENRE_SIMULATORS
117465692,GENRE_3D_SHOOTERS
117606130,GENRE_LOGIC
117619562,GENRE_VERBAL
117789325,GENRE_COMMUNICATION
117859498,GENRE_QUESTS
117860441,GENRE_COMMUNICATION
118154450,GENRE_LOGIC
118270324,GENRE_BOARDS
118293163,GENRE_HYPERCASUAL
118926698,GENRE_ROLE
119044274,GENRE_3D_SHOOTERS
119056441,GENRE_LOGIC
119131007,GENRE_GAMBLING
119182021,GENRE_LOGIC
119222754,GENRE_3D_SHOOTERS
119325564,GENRE_BOARDS
119356269,GENRE_STRATEGY
119516418,GENRE_STRATEGY
119615111,GENRE_BOARDS
120180428,GENRE_ROLE
120215020,GENRE_STRATEGY
120548359,GENRE_STRATEGY
120593876,GENRE_BOARDS
120890438,GENRE_3D_SHOOTERS
121252642,GENRE_VERBAL
121559439,GENRE_BOARDS
121576873,GENRE_SIMULATORS
122538135,GENRE_ROLE
122639519,GENRE_STRATEGY
123122335,GENRE_LOGIC
124407529,GENRE_3D_SHOOTERS
124796298,GENRE_STRATEGY
125406833,GENRE_LOGIC
125495728,GENRE_GAMBLING
125517187,GENRE_LOGIC
125607922,GENRE_GAMBLING
126664657,GENRE_GAMBLING
126958850,GENRE_STRATEGY
127337706,GENRE_QUESTS
127693723,GENRE_ROLE
127788391,GENRE_ECONOMIC
127898906,GENRE_SIMULATORS
128016781,GENRE_GAMBLING
128259270,GENRE_LOGIC
